Frequency	Channel A
(MHz)	(dBu)

0.64659119	-73.32152000
0.64754486	-71.97983000
0.64849854	-79.55857000
0.64945221	-72.63960000
0.65040588	-70.34906000
0.65135956	-72.70730000
0.65231323	-78.65907000
0.65326691	-68.92125000
0.65422058	-69.25138000
0.65517426	-73.52940000
0.65612793	-77.79129000
0.65708160	-72.69839000
0.65803528	-70.19940000
0.65898895	-79.41605000
0.65994263	-73.02513000
0.66089630	-72.32492000
0.66184998	-88.29028000
0.66280365	-76.62414000
0.66375732	-85.91187000
0.66471100	-78.65003000
0.66566467	-74.81865000
0.66661835	-77.49984000
0.66757202	-77.35169000
0.66852570	-76.51937000
0.66947937	-81.76510000
0.67043304	-75.76422000
0.67138672	-74.72430000
0.67234039	-77.84843000
0.67329407	-76.73228000
0.67424774	-75.20940000
0.67520142	-71.42474000
0.67615509	-72.88492000
0.67710876	-80.09540000
0.67806244	-76.43617000
0.67901611	-80.19093000
0.67996979	-77.25519000
0.68092346	-77.12203000
0.68187714	-74.78181000
0.68283081	-71.99908000
0.68378448	-74.79604000
0.68473816	-85.34161000
0.68569183	-75.57163000
0.68664551	-72.75514000
0.68759918	-74.66417000
0.68855286	-82.10439000
0.68950653	-76.93914000
0.69046021	-75.12863000
0.69141388	-86.65856000
0.69236755	-77.94734000
0.69332123	-78.65326000
0.69427490	-78.72434000
0.69522858	-73.86353000
0.69618225	-71.59722000
0.69713593	-70.97533000
0.69808960	-70.86486000
0.69904327	-73.33244000
0.69999695	-73.34845000
0.70095062	-70.04117000
0.70190430	-69.43445000
0.70285797	-70.98764000
0.70381165	-77.94122000
0.70476532	-75.21715000
0.70571899	-73.12568000
0.70667267	-79.81603000
0.70762634	-75.43895000
0.70858002	-75.17875000
0.70953369	-78.71912000
0.71048737	-82.47031000
0.71144104	-80.73403000
0.71239471	-73.95764000
0.71334839	-72.09666000
0.71430206	-76.04520000
0.71525574	-77.61980000
0.71620941	-74.36179000
0.71716309	-74.06381000
0.71811676	-74.62122000
0.71907043	-75.03027000
0.72002411	-83.84530000
0.72097778	-72.29947000
0.72193146	-68.54944000
0.72288513	-72.32299000
0.72383881	-74.04319000
0.72479248	-69.26536000
0.72574615	-67.03889000
0.72669983	-71.98324000
0.72765350	-73.12186000
0.72860718	-67.34708000
0.72956085	-69.65591000
0.73051453	-74.01066000
0.73146820	-74.46343000
0.73242188	-71.17509000
0.73337555	-72.37951000
0.73432922	-78.38425000
0.73528290	-73.04578000
0.73623657	-72.07933000
0.73719025	-72.06657000
0.73814392	-74.37513000
0.73909760	-80.84587000
0.74005127	-74.98251000
0.74100494	-76.62976000
0.74195862	-76.71011000
0.74291229	-73.16831000
0.74386597	-70.54499000
0.74481964	-71.09351000
0.74577332	-70.95306000
0.74672699	-75.00217000
0.74768066	-84.25113000
0.74863434	-78.64550000
0.74958801	-75.81737000
0.75054169	-72.95497000
0.75149536	-71.29896000
0.75244904	-79.13406000
0.75340271	-79.74223000
0.75435638	-76.92953000
0.75531006	-79.64093000
0.75626373	-77.01640000
0.75721741	-73.88353000
0.75817108	-72.82033000
0.75912476	-76.59079000
0.76007843	-86.66872000
0.76103210	-87.99592000
0.76198578	-85.20415000
0.76293945	-74.34488000
