Time	Channel A
(us)	(mV)

2.36799987	52.44781000
2.37199987	57.62422000
2.37599987	47.27139000
2.37999987	24.51471000
2.38399987	-5.02991100
2.38799987	-32.86534000
2.39199987	-51.61763000
2.39599987	-56.59871000
2.39999987	-45.90404000
2.40399987	-22.36601000
2.40799987	7.12977600
2.41199987	34.86754000
2.41599987	53.57099000
2.41999987	58.01489000
2.42399987	46.97839000
2.42799987	23.48919000
2.43199987	-5.86009000
2.43599987	-34.13503000
2.43999987	-52.54548000
2.44399987	-56.74521000
2.44799987	-45.46453000
2.45199987	-21.38933000
2.45599987	8.30179500
2.45999987	36.23489000
2.46399987	54.15700000
2.46799987	58.25906000
2.47199987	46.58772000
2.47599987	22.61018000
2.47999987	-7.42278100
2.48399987	-35.11171000
2.48799987	-53.27799000
2.49199987	-56.89171000
2.49599987	-45.12270000
2.49999987	-20.26615000
2.50399987	9.47381200
2.50799987	37.35808000
2.51199987	54.79184000
2.51599987	58.50323000
2.51999987	46.09938000
2.52399987	21.63350000
2.52799987	-8.49713000
2.53199987	-36.18605000
2.53599987	-53.91283000
2.53999987	-57.13588000
2.54399987	-44.43902000
2.54799987	-19.53363000
2.55199987	10.59700000
2.55599987	38.38359000
2.55999987	55.71969000
2.56399987	58.50323000
2.56799987	45.56220000
2.57199987	20.60798000
2.57599987	-9.81565100
2.57999987	-37.40691000
2.58399987	-54.84068000
2.58799987	-57.23355000
2.59199986	-43.99951000
2.59599986	-18.60579000
2.59999986	11.91552000
2.60399986	39.36027000
2.60799986	56.59871000
2.61199986	58.64974000
2.61599986	45.12270000
2.61999986	19.72897000
2.62399986	-10.93884000
2.62799986	-38.43242000
2.63199986	-55.42669000
2.63599986	-57.18472000
2.63999986	-43.56000000
2.64399986	-17.38493000
2.64799986	13.03870000
2.65199986	40.53229000
2.65599986	57.03821000
2.65999986	58.74740000
2.66399986	44.63435000
2.66799986	18.84996000
2.67199986	-12.15969000
2.67599986	-39.55561000
2.67999986	-56.06153000
2.68399986	-57.38005000
2.68799986	-42.97400000
2.69199986	-16.50592000
2.69599986	14.35722000
2.69999986	41.46014000
2.70399986	57.62422000
2.70799986	58.69857000
2.71199986	44.04834000
2.71599986	17.72677000
2.71999986	-13.28287000
2.72399986	-40.62996000
2.72799986	-56.69637000
2.73199986	-57.23355000
2.73599986	-42.29032000
2.73999986	-15.57807000
2.74399986	15.43157000
2.74799986	42.48566000
2.75199986	58.16140000
2.75599986	58.74740000
2.75999986	43.65767000
2.76399986	16.70126000
2.76799986	-14.55256000
2.77199986	-41.55780000
2.77599986	-57.13588000
2.77999986	-57.13588000
2.78399986	-41.70431000
2.78799986	-14.40606000
2.79199986	16.75009000
2.79599986	43.31583000
2.79999986	58.55207000
2.80399986	58.55207000
2.80799986	42.58332000
2.81199986	15.72458000
2.81599986	-15.33390000
2.81999986	-42.24149000
2.82399986	-57.38005000
2.82799986	-56.69637000
2.83199986	-40.77646000
2.83599986	-13.77121000
2.83999986	17.38493000
2.84399986	43.80417000
2.84799986	58.60090000
2.85199986	57.77072000
2.85599986	41.41130000
2.85999986	14.40606000
2.86399986	-16.35942000
2.86799986	-42.38799000
2.87199986	-56.74521000
2.87599986	-55.67086000
2.87999986	-39.36027000
2.88399986	-11.76901000
2.88799986	18.26395000
2.89199986	43.80417000
2.89599986	57.47772000
2.89999986	55.91503000
2.90399986	39.45794000
2.90799986	12.69686000
2.91199986	-17.23843000
2.91599986	-42.29032000
2.91999986	-55.47552000
2.92399986	-53.27799000
2.92799986	-36.86974000
2.93199986	-9.91332000
2.93599986	19.33830000
2.93999986	43.26700000
2.94399986	55.67086000
2.94799985	53.37566000
2.95199985	36.57673000
2.95599985	10.20632000
2.95999985	-18.21511000
2.96399985	-41.65548000
2.96799985	-53.18032000
2.97199985	-50.20144000
2.97599985	-33.25601000
2.97999985	-7.32511300
2.98399985	20.31498000
2.98799985	42.53448000
2.99199985	53.32682000
2.99599985	49.81077000
2.99999985	33.10951000
3.00399985	8.10645900
3.00799985	-19.33830000
3.01199985	-40.62996000
3.01599985	-50.78745000
3.01999985	-46.73422000
3.02399985	-29.78879000
3.02799985	-4.98107700
3.03199985	20.99866000
3.03599985	41.36247000
3.03999985	50.59211000
3.04399985	46.00171000
3.04799985	29.20278000
3.05199985	5.27408100
3.05599985	-20.02198000
3.05999985	-39.26260000
3.06399985	-47.46673000
3.06799985	-42.33915000
3.07199985	-25.83323000
3.07599985	-2.44170400
3.07999985	21.53583000
3.08399985	39.50677000
3.08799985	46.88072000
3.09199985	41.55780000
3.09599985	25.29606000
3.09999985	2.78354300
3.10399985	-20.26615000
3.10799985	-37.21157000
3.11199985	-43.65767000
3.11599985	-37.89525000
3.11999985	-21.92650000
3.12399985	-0.14650230
3.12799985	21.78000000
3.13199985	37.35808000
3.13599985	43.07166000
3.13999985	37.11391000
3.14399985	21.58467000
3.14799985	0.63484310
3.15199985	-20.02198000
3.15599985	-34.76987000
3.15999985	-39.65328000
3.16399985	-33.50018000
3.16799985	-18.26395000
3.17199985	1.70919300
3.17599985	20.94982000
3.17999985	34.52570000
3.18399985	38.72543000
3.18799985	32.42583000
3.19199985	17.77561000
3.19599985	-1.02551600
3.19999985	-19.28946000
3.20399985	-31.59565000
3.20799985	-35.20937000
3.21199985	-28.66561000
3.21599985	-14.60139000
3.21999985	3.46722000
3.22399985	20.21731000
3.22799985	31.35148000
3.23199985	33.89086000
3.23599985	27.78659000
3.23999985	14.40606000
3.24399985	-2.49053800
3.24799985	-18.06861000
3.25199985	-28.27493000
3.25599985	-30.47247000
3.25999985	-23.83103000
3.26399985	-11.23184000
3.26799985	4.49273600
3.27199985	18.75229000
3.27599985	27.98193000
3.27999985	29.64229000
3.28399985	23.29386000
3.28799985	11.52484000
3.29199985	-3.36955200
3.29599985	-16.55475000
3.29999984	-24.75888000
3.30399984	-26.22390000
3.30799984	-20.16848000
3.31199984	-8.59479900
3.31599984	4.98107700
3.31999984	17.18960000
3.32399984	24.36821000
3.32799984	25.34489000
3.33199984	19.58247000
3.33599984	8.98547200
3.33999984	-3.56488800
3.34399984	-14.79673000
3.34799984	-21.38933000
3.35199984	-22.07301000
3.35599984	-16.50592000
3.35999984	-6.59260200
3.36399984	5.02991100
3.36799984	14.84556000
3.37199984	21.04749000
3.37599984	21.53583000
3.37999984	16.21292000
3.38399984	7.27627900
3.38799984	-3.32071800
3.39199984	-12.64803000
3.39599984	-18.06861000
3.39999984	-18.01978000
3.40399984	-13.23404000
3.40799984	-5.02991100
3.41199984	4.54157000
3.41599984	13.03870000
3.41999984	17.33610000
3.42399984	17.58027000
3.42799984	13.23404000
3.43199984	5.66475400
3.43599984	-3.07654700
3.43999984	-10.59700000
